country_key,country,region_key,region,year,month_number,month,weekdays,public_holidays_on_weekdays,business_days
ca,Canada,ab,Alberta,2027,1,January,21,1,20
ca,Canada,ab,Alberta,2027,2,February,20,1,19
ca,Canada,ab,Alberta,2027,3,March,23,1,22
ca,Canada,ab,Alberta,2027,4,April,22,0,22
ca,Canada,ab,Alberta,2027,5,May,21,1,20
ca,Canada,ab,Alberta,2027,6,June,22,0,22
ca,Canada,ab,Alberta,2027,7,July,22,1,21
ca,Canada,ab,Alberta,2027,8,August,22,0,22
ca,Canada,ab,Alberta,2027,9,September,22,1,21
ca,Canada,ab,Alberta,2027,10,October,21,1,20
ca,Canada,ab,Alberta,2027,11,November,22,1,21
ca,Canada,ab,Alberta,2027,12,December,23,0,23
ca,Canada,bc,British Columbia,2027,1,January,21,1,20
ca,Canada,bc,British Columbia,2027,2,February,20,1,19
ca,Canada,bc,British Columbia,2027,3,March,23,1,22
ca,Canada,bc,British Columbia,2027,4,April,22,0,22
ca,Canada,bc,British Columbia,2027,5,May,21,1,20
ca,Canada,bc,British Columbia,2027,6,June,22,0,22
ca,Canada,bc,British Columbia,2027,7,July,22,1,21
ca,Canada,bc,British Columbia,2027,8,August,22,1,21
ca,Canada,bc,British Columbia,2027,9,September,22,1,21
ca,Canada,bc,British Columbia,2027,10,October,21,1,20
ca,Canada,bc,British Columbia,2027,11,November,22,1,21
ca,Canada,bc,British Columbia,2027,12,December,23,0,23
ca,Canada,mb,Manitoba,2027,1,January,21,1,20
ca,Canada,mb,Manitoba,2027,2,February,20,1,19
ca,Canada,mb,Manitoba,2027,3,March,23,1,22
ca,Canada,mb,Manitoba,2027,4,April,22,0,22
ca,Canada,mb,Manitoba,2027,5,May,21,1,20
ca,Canada,mb,Manitoba,2027,6,June,22,0,22
ca,Canada,mb,Manitoba,2027,7,July,22,1,21
ca,Canada,mb,Manitoba,2027,8,August,22,1,21
ca,Canada,mb,Manitoba,2027,9,September,22,1,21
ca,Canada,mb,Manitoba,2027,10,October,21,1,20
ca,Canada,mb,Manitoba,2027,11,November,22,1,21
ca,Canada,mb,Manitoba,2027,12,December,23,0,23
ca,Canada,nb,New Brunswick,2027,1,January,21,1,20
ca,Canada,nb,New Brunswick,2027,2,February,20,1,19
ca,Canada,nb,New Brunswick,2027,3,March,23,1,22
ca,Canada,nb,New Brunswick,2027,4,April,22,0,22
ca,Canada,nb,New Brunswick,2027,5,May,21,1,20
ca,Canada,nb,New Brunswick,2027,6,June,22,0,22
ca,Canada,nb,New Brunswick,2027,7,July,22,1,21
ca,Canada,nb,New Brunswick,2027,8,August,22,1,21
ca,Canada,nb,New Brunswick,2027,9,September,22,1,21
ca,Canada,nb,New Brunswick,2027,10,October,21,1,20
ca,Canada,nb,New Brunswick,2027,11,November,22,1,21
ca,Canada,nb,New Brunswick,2027,12,December,23,0,23
ca,Canada,nl,Newfoundland and Labrador,2027,1,January,21,1,20
ca,Canada,nl,Newfoundland and Labrador,2027,2,February,20,0,20
ca,Canada,nl,Newfoundland and Labrador,2027,3,March,23,1,22
ca,Canada,nl,Newfoundland and Labrador,2027,4,April,22,0,22
ca,Canada,nl,Newfoundland and Labrador,2027,5,May,21,1,20
ca,Canada,nl,Newfoundland and Labrador,2027,6,June,22,0,22
ca,Canada,nl,Newfoundland and Labrador,2027,7,July,22,1,21
ca,Canada,nl,Newfoundland and Labrador,2027,8,August,22,1,21
ca,Canada,nl,Newfoundland and Labrador,2027,9,September,22,1,21
ca,Canada,nl,Newfoundland and Labrador,2027,10,October,21,1,20
ca,Canada,nl,Newfoundland and Labrador,2027,11,November,22,1,21
ca,Canada,nl,Newfoundland and Labrador,2027,12,December,23,0,23
ca,Canada,ns,Nova Scotia,2027,1,January,21,1,20
ca,Canada,ns,Nova Scotia,2027,2,February,20,1,19
ca,Canada,ns,Nova Scotia,2027,3,March,23,1,22
ca,Canada,ns,Nova Scotia,2027,4,April,22,0,22
ca,Canada,ns,Nova Scotia,2027,5,May,21,1,20
ca,Canada,ns,Nova Scotia,2027,6,June,22,0,22
ca,Canada,ns,Nova Scotia,2027,7,July,22,1,21
ca,Canada,ns,Nova Scotia,2027,8,August,22,1,21
ca,Canada,ns,Nova Scotia,2027,9,September,22,1,21
ca,Canada,ns,Nova Scotia,2027,10,October,21,1,20
ca,Canada,ns,Nova Scotia,2027,11,November,22,1,21
ca,Canada,ns,Nova Scotia,2027,12,December,23,0,23
ca,Canada,nt,Northwest Territories,2027,1,January,21,1,20
ca,Canada,nt,Northwest Territories,2027,2,February,20,0,20
ca,Canada,nt,Northwest Territories,2027,3,March,23,1,22
ca,Canada,nt,Northwest Territories,2027,4,April,22,0,22
ca,Canada,nt,Northwest Territories,2027,5,May,21,1,20
ca,Canada,nt,Northwest Territories,2027,6,June,22,1,21
ca,Canada,nt,Northwest Territories,2027,7,July,22,1,21
ca,Canada,nt,Northwest Territories,2027,8,August,22,1,21
ca,Canada,nt,Northwest Territories,2027,9,September,22,1,21
ca,Canada,nt,Northwest Territories,2027,10,October,21,1,20
ca,Canada,nt,Northwest Territories,2027,11,November,22,1,21
ca,Canada,nt,Northwest Territories,2027,12,December,23,0,23
ca,Canada,nu,Nunavut,2027,1,January,21,1,20
ca,Canada,nu,Nunavut,2027,2,February,20,0,20
ca,Canada,nu,Nunavut,2027,3,March,23,1,22
ca,Canada,nu,Nunavut,2027,4,April,22,0,22
ca,Canada,nu,Nunavut,2027,5,May,21,1,20
ca,Canada,nu,Nunavut,2027,6,June,22,0,22
ca,Canada,nu,Nunavut,2027,7,July,22,1,21
ca,Canada,nu,Nunavut,2027,8,August,22,1,21
ca,Canada,nu,Nunavut,2027,9,September,22,1,21
ca,Canada,nu,Nunavut,2027,10,October,21,1,20
ca,Canada,nu,Nunavut,2027,11,November,22,1,21
ca,Canada,nu,Nunavut,2027,12,December,23,0,23
ca,Canada,on,Ontario,2027,1,January,21,1,20
ca,Canada,on,Ontario,2027,2,February,20,1,19
ca,Canada,on,Ontario,2027,3,March,23,2,21
ca,Canada,on,Ontario,2027,4,April,22,0,22
ca,Canada,on,Ontario,2027,5,May,21,1,20
ca,Canada,on,Ontario,2027,6,June,22,0,22
ca,Canada,on,Ontario,2027,7,July,22,1,21
ca,Canada,on,Ontario,2027,8,August,22,1,21
ca,Canada,on,Ontario,2027,9,September,22,1,21
ca,Canada,on,Ontario,2027,10,October,21,1,20
ca,Canada,on,Ontario,2027,11,November,22,1,21
ca,Canada,on,Ontario,2027,12,December,23,0,23
ca,Canada,pe,Prince Edward Island,2027,1,January,21,1,20
ca,Canada,pe,Prince Edward Island,2027,2,February,20,1,19
ca,Canada,pe,Prince Edward Island,2027,3,March,23,1,22
ca,Canada,pe,Prince Edward Island,2027,4,April,22,0,22
ca,Canada,pe,Prince Edward Island,2027,5,May,21,1,20
ca,Canada,pe,Prince Edward Island,2027,6,June,22,0,22
ca,Canada,pe,Prince Edward Island,2027,7,July,22,1,21
ca,Canada,pe,Prince Edward Island,2027,8,August,22,2,20
ca,Canada,pe,Prince Edward Island,2027,9,September,22,1,21
ca,Canada,pe,Prince Edward Island,2027,10,October,21,1,20
ca,Canada,pe,Prince Edward Island,2027,11,November,22,1,21
ca,Canada,pe,Prince Edward Island,2027,12,December,23,0,23
ca,Canada,qc,Quebec,2027,1,January,21,1,20
ca,Canada,qc,Quebec,2027,2,February,20,0,20
ca,Canada,qc,Quebec,2027,3,March,23,2,21
ca,Canada,qc,Quebec,2027,4,April,22,0,22
ca,Canada,qc,Quebec,2027,5,May,21,1,20
ca,Canada,qc,Quebec,2027,6,June,22,1,21
ca,Canada,qc,Quebec,2027,7,July,22,1,21
ca,Canada,qc,Quebec,2027,8,August,22,1,21
ca,Canada,qc,Quebec,2027,9,September,22,1,21
ca,Canada,qc,Quebec,2027,10,October,21,1,20
ca,Canada,qc,Quebec,2027,11,November,22,1,21
ca,Canada,qc,Quebec,2027,12,December,23,0,23
ca,Canada,sk,Saskatchewan,2027,1,January,21,1,20
ca,Canada,sk,Saskatchewan,2027,2,February,20,1,19
ca,Canada,sk,Saskatchewan,2027,3,March,23,1,22
ca,Canada,sk,Saskatchewan,2027,4,April,22,0,22
ca,Canada,sk,Saskatchewan,2027,5,May,21,1,20
ca,Canada,sk,Saskatchewan,2027,6,June,22,0,22
ca,Canada,sk,Saskatchewan,2027,7,July,22,1,21
ca,Canada,sk,Saskatchewan,2027,8,August,22,1,21
ca,Canada,sk,Saskatchewan,2027,9,September,22,1,21
ca,Canada,sk,Saskatchewan,2027,10,October,21,1,20
ca,Canada,sk,Saskatchewan,2027,11,November,22,1,21
ca,Canada,sk,Saskatchewan,2027,12,December,23,0,23
ca,Canada,yt,Yukon,2027,1,January,21,1,20
ca,Canada,yt,Yukon,2027,2,February,20,0,20
ca,Canada,yt,Yukon,2027,3,March,23,2,21
ca,Canada,yt,Yukon,2027,4,April,22,0,22
ca,Canada,yt,Yukon,2027,5,May,21,1,20
ca,Canada,yt,Yukon,2027,6,June,22,1,21
ca,Canada,yt,Yukon,2027,7,July,22,1,21
ca,Canada,yt,Yukon,2027,8,August,22,2,20
ca,Canada,yt,Yukon,2027,9,September,22,1,21
ca,Canada,yt,Yukon,2027,10,October,21,1,20
ca,Canada,yt,Yukon,2027,11,November,22,1,21
ca,Canada,yt,Yukon,2027,12,December,23,0,23
us,United States,federal,Federal holidays,2027,1,January,21,2,19
us,United States,federal,Federal holidays,2027,2,February,20,1,19
us,United States,federal,Federal holidays,2027,3,March,23,0,23
us,United States,federal,Federal holidays,2027,4,April,22,0,22
us,United States,federal,Federal holidays,2027,5,May,21,1,20
us,United States,federal,Federal holidays,2027,6,June,22,1,21
us,United States,federal,Federal holidays,2027,7,July,22,1,21
us,United States,federal,Federal holidays,2027,8,August,22,0,22
us,United States,federal,Federal holidays,2027,9,September,22,1,21
us,United States,federal,Federal holidays,2027,10,October,21,1,20
us,United States,federal,Federal holidays,2027,11,November,22,2,20
us,United States,federal,Federal holidays,2027,12,December,23,2,21
us,United States,al,Alabama,2027,1,January,21,2,19
us,United States,al,Alabama,2027,2,February,20,1,19
us,United States,al,Alabama,2027,3,March,23,0,23
us,United States,al,Alabama,2027,4,April,22,1,21
us,United States,al,Alabama,2027,5,May,21,1,20
us,United States,al,Alabama,2027,6,June,22,2,20
us,United States,al,Alabama,2027,7,July,22,1,21
us,United States,al,Alabama,2027,8,August,22,0,22
us,United States,al,Alabama,2027,9,September,22,1,21
us,United States,al,Alabama,2027,10,October,21,1,20
us,United States,al,Alabama,2027,11,November,22,2,20
us,United States,al,Alabama,2027,12,December,23,2,21
us,United States,ak,Alaska,2027,1,January,21,2,19
us,United States,ak,Alaska,2027,2,February,20,1,19
us,United States,ak,Alaska,2027,3,March,23,1,22
us,United States,ak,Alaska,2027,4,April,22,0,22
us,United States,ak,Alaska,2027,5,May,21,1,20
us,United States,ak,Alaska,2027,6,June,22,1,21
us,United States,ak,Alaska,2027,7,July,22,1,21
us,United States,ak,Alaska,2027,8,August,22,0,22
us,United States,ak,Alaska,2027,9,September,22,1,21
us,United States,ak,Alaska,2027,10,October,21,2,19
us,United States,ak,Alaska,2027,11,November,22,2,20
us,United States,ak,Alaska,2027,12,December,23,2,21
us,United States,az,Arizona,2027,1,January,21,2,19
us,United States,az,Arizona,2027,2,February,20,1,19
us,United States,az,Arizona,2027,3,March,23,0,23
us,United States,az,Arizona,2027,4,April,22,0,22
us,United States,az,Arizona,2027,5,May,21,1,20
us,United States,az,Arizona,2027,6,June,22,1,21
us,United States,az,Arizona,2027,7,July,22,1,21
us,United States,az,Arizona,2027,8,August,22,0,22
us,United States,az,Arizona,2027,9,September,22,1,21
us,United States,az,Arizona,2027,10,October,21,1,20
us,United States,az,Arizona,2027,11,November,22,2,20
us,United States,az,Arizona,2027,12,December,23,2,21
us,United States,ar,Arkansas,2027,1,January,21,2,19
us,United States,ar,Arkansas,2027,2,February,20,1,19
us,United States,ar,Arkansas,2027,3,March,23,0,23
us,United States,ar,Arkansas,2027,4,April,22,0,22
us,United States,ar,Arkansas,2027,5,May,21,1,20
us,United States,ar,Arkansas,2027,6,June,22,1,21
us,United States,ar,Arkansas,2027,7,July,22,1,21
us,United States,ar,Arkansas,2027,8,August,22,0,22
us,United States,ar,Arkansas,2027,9,September,22,1,21
us,United States,ar,Arkansas,2027,10,October,21,1,20
us,United States,ar,Arkansas,2027,11,November,22,2,20
us,United States,ar,Arkansas,2027,12,December,23,2,21
us,United States,ca,California,2027,1,January,21,2,19
us,United States,ca,California,2027,2,February,20,1,19
us,United States,ca,California,2027,3,March,23,1,22
us,United States,ca,California,2027,4,April,22,0,22
us,United States,ca,California,2027,5,May,21,1,20
us,United States,ca,California,2027,6,June,22,1,21
us,United States,ca,California,2027,7,July,22,1,21
us,United States,ca,California,2027,8,August,22,0,22
us,United States,ca,California,2027,9,September,22,1,21
us,United States,ca,California,2027,10,October,21,0,21
us,United States,ca,California,2027,11,November,22,3,19
us,United States,ca,California,2027,12,December,23,2,21
us,United States,co,Colorado,2027,1,January,21,2,19
us,United States,co,Colorado,2027,2,February,20,1,19
us,United States,co,Colorado,2027,3,March,23,0,23
us,United States,co,Colorado,2027,4,April,22,0,22
us,United States,co,Colorado,2027,5,May,21,1,20
us,United States,co,Colorado,2027,6,June,22,1,21
us,United States,co,Colorado,2027,7,July,22,1,21
us,United States,co,Colorado,2027,8,August,22,0,22
us,United States,co,Colorado,2027,9,September,22,1,21
us,United States,co,Colorado,2027,10,October,21,0,21
us,United States,co,Colorado,2027,11,November,22,2,20
us,United States,co,Colorado,2027,12,December,23,2,21
us,United States,ct,Connecticut,2027,1,January,21,2,19
us,United States,ct,Connecticut,2027,2,February,20,2,18
us,United States,ct,Connecticut,2027,3,March,23,1,22
us,United States,ct,Connecticut,2027,4,April,22,0,22
us,United States,ct,Connecticut,2027,5,May,21,1,20
us,United States,ct,Connecticut,2027,6,June,22,1,21
us,United States,ct,Connecticut,2027,7,July,22,1,21
us,United States,ct,Connecticut,2027,8,August,22,0,22
us,United States,ct,Connecticut,2027,9,September,22,1,21
us,United States,ct,Connecticut,2027,10,October,21,1,20
us,United States,ct,Connecticut,2027,11,November,22,2,20
us,United States,ct,Connecticut,2027,12,December,23,2,21
us,United States,de,Delaware,2027,1,January,21,2,19
us,United States,de,Delaware,2027,2,February,20,0,20
us,United States,de,Delaware,2027,3,March,23,1,22
us,United States,de,Delaware,2027,4,April,22,0,22
us,United States,de,Delaware,2027,5,May,21,1,20
us,United States,de,Delaware,2027,6,June,22,1,21
us,United States,de,Delaware,2027,7,July,22,1,21
us,United States,de,Delaware,2027,8,August,22,0,22
us,United States,de,Delaware,2027,9,September,22,1,21
us,United States,de,Delaware,2027,10,October,21,0,21
us,United States,de,Delaware,2027,11,November,22,3,19
us,United States,de,Delaware,2027,12,December,23,2,21
us,United States,dc,District of Columbia,2027,1,January,21,2,19
us,United States,dc,District of Columbia,2027,2,February,20,1,19
us,United States,dc,District of Columbia,2027,3,March,23,0,23
us,United States,dc,District of Columbia,2027,4,April,22,1,21
us,United States,dc,District of Columbia,2027,5,May,21,1,20
us,United States,dc,District of Columbia,2027,6,June,22,1,21
us,United States,dc,District of Columbia,2027,7,July,22,1,21
us,United States,dc,District of Columbia,2027,8,August,22,0,22
us,United States,dc,District of Columbia,2027,9,September,22,1,21
us,United States,dc,District of Columbia,2027,10,October,21,1,20
us,United States,dc,District of Columbia,2027,11,November,22,2,20
us,United States,dc,District of Columbia,2027,12,December,23,2,21
us,United States,fl,Florida,2027,1,January,21,2,19
us,United States,fl,Florida,2027,2,February,20,1,19
us,United States,fl,Florida,2027,3,March,23,0,23
us,United States,fl,Florida,2027,4,April,22,0,22
us,United States,fl,Florida,2027,5,May,21,1,20
us,United States,fl,Florida,2027,6,June,22,1,21
us,United States,fl,Florida,2027,7,July,22,1,21
us,United States,fl,Florida,2027,8,August,22,0,22
us,United States,fl,Florida,2027,9,September,22,1,21
us,United States,fl,Florida,2027,10,October,21,0,21
us,United States,fl,Florida,2027,11,November,22,3,19
us,United States,fl,Florida,2027,12,December,23,2,21
us,United States,ga,Georgia,2027,1,January,21,2,19
us,United States,ga,Georgia,2027,2,February,20,0,20
us,United States,ga,Georgia,2027,3,March,23,0,23
us,United States,ga,Georgia,2027,4,April,22,1,21
us,United States,ga,Georgia,2027,5,May,21,1,20
us,United States,ga,Georgia,2027,6,June,22,1,21
us,United States,ga,Georgia,2027,7,July,22,1,21
us,United States,ga,Georgia,2027,8,August,22,0,22
us,United States,ga,Georgia,2027,9,September,22,1,21
us,United States,ga,Georgia,2027,10,October,21,1,20
us,United States,ga,Georgia,2027,11,November,22,3,19
us,United States,ga,Georgia,2027,12,December,23,2,21
us,United States,hi,Hawaii,2027,1,January,21,2,19
us,United States,hi,Hawaii,2027,2,February,20,1,19
us,United States,hi,Hawaii,2027,3,March,23,1,22
us,United States,hi,Hawaii,2027,4,April,22,0,22
us,United States,hi,Hawaii,2027,5,May,21,1,20
us,United States,hi,Hawaii,2027,6,June,22,2,20
us,United States,hi,Hawaii,2027,7,July,22,1,21
us,United States,hi,Hawaii,2027,8,August,22,1,21
us,United States,hi,Hawaii,2027,9,September,22,1,21
us,United States,hi,Hawaii,2027,10,October,21,0,21
us,United States,hi,Hawaii,2027,11,November,22,2,20
us,United States,hi,Hawaii,2027,12,December,23,2,21
us,United States,id,Idaho,2027,1,January,21,2,19
us,United States,id,Idaho,2027,2,February,20,1,19
us,United States,id,Idaho,2027,3,March,23,0,23
us,United States,id,Idaho,2027,4,April,22,0,22
us,United States,id,Idaho,2027,5,May,21,1,20
us,United States,id,Idaho,2027,6,June,22,1,21
us,United States,id,Idaho,2027,7,July,22,1,21
us,United States,id,Idaho,2027,8,August,22,0,22
us,United States,id,Idaho,2027,9,September,22,1,21
us,United States,id,Idaho,2027,10,October,21,1,20
us,United States,id,Idaho,2027,11,November,22,2,20
us,United States,id,Idaho,2027,12,December,23,2,21
us,United States,il,Illinois,2027,1,January,21,2,19
us,United States,il,Illinois,2027,2,February,20,2,18
us,United States,il,Illinois,2027,3,March,23,1,22
us,United States,il,Illinois,2027,4,April,22,0,22
us,United States,il,Illinois,2027,5,May,21,2,19
us,United States,il,Illinois,2027,6,June,22,1,21
us,United States,il,Illinois,2027,7,July,22,1,21
us,United States,il,Illinois,2027,8,August,22,0,22
us,United States,il,Illinois,2027,9,September,22,1,21
us,United States,il,Illinois,2027,10,October,21,1,20
us,United States,il,Illinois,2027,11,November,22,2,20
us,United States,il,Illinois,2027,12,December,23,2,21
us,United States,in,Indiana,2027,1,January,21,2,19
us,United States,in,Indiana,2027,2,February,20,1,19
us,United States,in,Indiana,2027,3,March,23,1,22
us,United States,in,Indiana,2027,4,April,22,0,22
us,United States,in,Indiana,2027,5,May,21,2,19
us,United States,in,Indiana,2027,6,June,22,1,21
us,United States,in,Indiana,2027,7,July,22,1,21
us,United States,in,Indiana,2027,8,August,22,0,22
us,United States,in,Indiana,2027,9,September,22,1,21
us,United States,in,Indiana,2027,10,October,21,1,20
us,United States,in,Indiana,2027,11,November,22,4,18
us,United States,in,Indiana,2027,12,December,23,2,21
