country_key,country,region_key,region,year,weekdays,public_holidays_on_weekdays,business_days
ca,Canada,ab,Alberta,2026,261,9,252
ca,Canada,ab,Alberta,2027,261,8,253
ca,Canada,bc,British Columbia,2026,261,10,251
ca,Canada,bc,British Columbia,2027,261,9,252
ca,Canada,mb,Manitoba,2026,261,10,251
ca,Canada,mb,Manitoba,2027,261,9,252
ca,Canada,nb,New Brunswick,2026,261,10,251
ca,Canada,nb,New Brunswick,2027,261,9,252
ca,Canada,nl,Newfoundland and Labrador,2026,261,9,252
ca,Canada,nl,Newfoundland and Labrador,2027,261,8,253
ca,Canada,ns,Nova Scotia,2026,261,10,251
ca,Canada,ns,Nova Scotia,2027,261,9,252
ca,Canada,nt,Northwest Territories,2026,261,9,252
ca,Canada,nt,Northwest Territories,2027,261,9,252
ca,Canada,nu,Nunavut,2026,261,9,252
ca,Canada,nu,Nunavut,2027,261,8,253
ca,Canada,on,Ontario,2026,261,11,250
ca,Canada,on,Ontario,2027,261,10,251
ca,Canada,pe,Prince Edward Island,2026,261,11,250
ca,Canada,pe,Prince Edward Island,2027,261,10,251
ca,Canada,qc,Quebec,2026,261,11,250
ca,Canada,qc,Quebec,2027,261,10,251
ca,Canada,sk,Saskatchewan,2026,261,10,251
ca,Canada,sk,Saskatchewan,2027,261,9,252
ca,Canada,yt,Yukon,2026,261,11,250
ca,Canada,yt,Yukon,2027,261,11,250
us,United States,federal,Federal holidays,2026,261,11,250
us,United States,federal,Federal holidays,2027,261,12,249
us,United States,al,Alabama,2026,261,13,248
us,United States,al,Alabama,2027,261,14,247
us,United States,ak,Alaska,2026,261,12,249
us,United States,ak,Alaska,2027,261,14,247
us,United States,az,Arizona,2026,261,11,250
us,United States,az,Arizona,2027,261,12,249
us,United States,ar,Arkansas,2026,261,12,249
us,United States,ar,Arkansas,2027,261,12,249
us,United States,ca,California,2026,261,12,249
us,United States,ca,California,2027,261,13,248
us,United States,co,Colorado,2026,261,10,251
us,United States,co,Colorado,2027,261,11,250
us,United States,ct,Connecticut,2026,261,13,248
us,United States,ct,Connecticut,2027,261,14,247
us,United States,de,Delaware,2026,261,12,249
