country_key,country,region_key,region,year,date,holiday
ca,Canada,ab,Alberta,2026,2026-01-01,New Year's Day
ca,Canada,ab,Alberta,2026,2026-02-16,Family Day
ca,Canada,ab,Alberta,2026,2026-04-03,Good Friday
ca,Canada,ab,Alberta,2026,2026-04-05,Easter Sunday
ca,Canada,ab,Alberta,2026,2026-05-18,Victoria Day
ca,Canada,ab,Alberta,2026,2026-07-01,Canada Day
ca,Canada,ab,Alberta,2026,2026-09-07,Labour Day
ca,Canada,ab,Alberta,2026,2026-10-12,Thanksgiving
ca,Canada,ab,Alberta,2026,2026-11-11,Remembrance Day
ca,Canada,ab,Alberta,2026,2026-12-25,Christmas Day
ca,Canada,ab,Alberta,2026,2026-12-26,Boxing Day
ca,Canada,ab,Alberta,2027,2027-01-01,New Year's Day
ca,Canada,ab,Alberta,2027,2027-02-15,Family Day
ca,Canada,ab,Alberta,2027,2027-03-26,Good Friday
ca,Canada,ab,Alberta,2027,2027-03-28,Easter Sunday
ca,Canada,ab,Alberta,2027,2027-05-24,Victoria Day
ca,Canada,ab,Alberta,2027,2027-07-01,Canada Day
ca,Canada,ab,Alberta,2027,2027-09-06,Labour Day
ca,Canada,ab,Alberta,2027,2027-10-11,Thanksgiving
ca,Canada,ab,Alberta,2027,2027-11-11,Remembrance Day
ca,Canada,ab,Alberta,2027,2027-12-25,Christmas Day
ca,Canada,ab,Alberta,2027,2027-12-26,Boxing Day
ca,Canada,bc,British Columbia,2026,2026-01-01,New Year's Day
ca,Canada,bc,British Columbia,2026,2026-02-16,Family Day
ca,Canada,bc,British Columbia,2026,2026-04-03,Good Friday
ca,Canada,bc,British Columbia,2026,2026-04-05,Easter Sunday
ca,Canada,bc,British Columbia,2026,2026-05-18,Victoria Day
ca,Canada,bc,British Columbia,2026,2026-07-01,Canada Day
ca,Canada,bc,British Columbia,2026,2026-08-03,Civic Holiday
ca,Canada,bc,British Columbia,2026,2026-09-07,Labour Day
ca,Canada,bc,British Columbia,2026,2026-10-12,Thanksgiving
ca,Canada,bc,British Columbia,2026,2026-11-11,Remembrance Day
ca,Canada,bc,British Columbia,2026,2026-12-25,Christmas Day
ca,Canada,bc,British Columbia,2026,2026-12-26,Boxing Day
ca,Canada,bc,British Columbia,2027,2027-01-01,New Year's Day
ca,Canada,bc,British Columbia,2027,2027-02-15,Family Day
ca,Canada,bc,British Columbia,2027,2027-03-26,Good Friday
ca,Canada,bc,British Columbia,2027,2027-03-28,Easter Sunday
ca,Canada,bc,British Columbia,2027,2027-05-24,Victoria Day
ca,Canada,bc,British Columbia,2027,2027-07-01,Canada Day
ca,Canada,bc,British Columbia,2027,2027-08-02,Civic Holiday
ca,Canada,bc,British Columbia,2027,2027-09-06,Labour Day
ca,Canada,bc,British Columbia,2027,2027-10-11,Thanksgiving
ca,Canada,bc,British Columbia,2027,2027-11-11,Remembrance Day
ca,Canada,bc,British Columbia,2027,2027-12-25,Christmas Day
ca,Canada,bc,British Columbia,2027,2027-12-26,Boxing Day
ca,Canada,mb,Manitoba,2026,2026-01-01,New Year's Day
ca,Canada,mb,Manitoba,2026,2026-02-16,Louis Riel Day
ca,Canada,mb,Manitoba,2026,2026-04-03,Good Friday
ca,Canada,mb,Manitoba,2026,2026-04-05,Easter Sunday
ca,Canada,mb,Manitoba,2026,2026-05-18,Victoria Day
ca,Canada,mb,Manitoba,2026,2026-07-01,Canada Day
ca,Canada,mb,Manitoba,2026,2026-08-03,Terry Fox Day
ca,Canada,mb,Manitoba,2026,2026-09-07,Labour Day
ca,Canada,mb,Manitoba,2026,2026-10-12,Thanksgiving
ca,Canada,mb,Manitoba,2026,2026-11-11,Remembrance Day
ca,Canada,mb,Manitoba,2026,2026-12-25,Christmas Day
ca,Canada,mb,Manitoba,2026,2026-12-26,Boxing Day
ca,Canada,mb,Manitoba,2027,2027-01-01,New Year's Day
ca,Canada,mb,Manitoba,2027,2027-02-15,Louis Riel Day
ca,Canada,mb,Manitoba,2027,2027-03-26,Good Friday
ca,Canada,mb,Manitoba,2027,2027-03-28,Easter Sunday
ca,Canada,mb,Manitoba,2027,2027-05-24,Victoria Day
ca,Canada,mb,Manitoba,2027,2027-07-01,Canada Day
ca,Canada,mb,Manitoba,2027,2027-08-02,Terry Fox Day
ca,Canada,mb,Manitoba,2027,2027-09-06,Labour Day
ca,Canada,mb,Manitoba,2027,2027-10-11,Thanksgiving
ca,Canada,mb,Manitoba,2027,2027-11-11,Remembrance Day
ca,Canada,mb,Manitoba,2027,2027-12-25,Christmas Day
ca,Canada,mb,Manitoba,2027,2027-12-26,Boxing Day
ca,Canada,nb,New Brunswick,2026,2026-01-01,New Year's Day
ca,Canada,nb,New Brunswick,2026,2026-02-16,Family Day
ca,Canada,nb,New Brunswick,2026,2026-04-03,Good Friday
ca,Canada,nb,New Brunswick,2026,2026-04-05,Easter Sunday
ca,Canada,nb,New Brunswick,2026,2026-05-18,Victoria Day
ca,Canada,nb,New Brunswick,2026,2026-07-01,Canada Day
ca,Canada,nb,New Brunswick,2026,2026-08-03,New Brunswick Day
ca,Canada,nb,New Brunswick,2026,2026-09-07,Labour Day
ca,Canada,nb,New Brunswick,2026,2026-10-12,Thanksgiving
ca,Canada,nb,New Brunswick,2026,2026-11-11,Remembrance Day
ca,Canada,nb,New Brunswick,2026,2026-12-25,Christmas Day
ca,Canada,nb,New Brunswick,2026,2026-12-26,Boxing Day
ca,Canada,nb,New Brunswick,2027,2027-01-01,New Year's Day
ca,Canada,nb,New Brunswick,2027,2027-02-15,Family Day
ca,Canada,nb,New Brunswick,2027,2027-03-26,Good Friday
ca,Canada,nb,New Brunswick,2027,2027-03-28,Easter Sunday
ca,Canada,nb,New Brunswick,2027,2027-05-24,Victoria Day
ca,Canada,nb,New Brunswick,2027,2027-07-01,Canada Day
ca,Canada,nb,New Brunswick,2027,2027-08-02,New Brunswick Day
ca,Canada,nb,New Brunswick,2027,2027-09-06,Labour Day
ca,Canada,nb,New Brunswick,2027,2027-10-11,Thanksgiving
ca,Canada,nb,New Brunswick,2027,2027-11-11,Remembrance Day
ca,Canada,nb,New Brunswick,2027,2027-12-25,Christmas Day
ca,Canada,nb,New Brunswick,2027,2027-12-26,Boxing Day
